
log,BatteryLevel,SpeedLevel,AccelLevel
0,1,0,0
log,BatteryLevel,SpeedLevel,AccelLevel
0,1,0,1
log,BatteryLevel,SpeedLevel,AccelLevel
0,1,1,1
log,BatteryLevel,SpeedLevel,AccelLevel
0,2,1,1
log,BatteryLevel,SpeedLevel,AccelLevel
0,2,1,2
log,BatteryLevel,SpeedLevel,AccelLevel
0,2,2,2
log,BatteryLevel,SpeedLevel,AccelLevel
0,3,2,2
log,BatteryLevel,SpeedLevel,AccelLevel
0,3,3,2
log,BatteryLevel,SpeedLevel,AccelLevel
0,3,3,3
log,BatteryLevel,SpeedLevel,AccelLevel
0,4,3,3
log,BatteryLevel,SpeedLevel,AccelLevel
0,4,3,4
log,BatteryLevel,SpeedLevel,AccelLevel
0,4,4,4
log,BatteryLevel,SpeedLevel,AccelLevel
0,5,4,4
log,BatteryLevel,SpeedLevel,AccelLevel
0,5,4,5
log,BatteryLevel,SpeedLevel,AccelLevel
0,5,5,5
log,BatteryLevel,SpeedLevel,AccelLevel
0,6,5,5
log,BatteryLevel,SpeedLevel,AccelLevel
0,6,5,6
log,BatteryLevel,SpeedLevel,AccelLevel
0,6,6,6
log,BatteryLevel,SpeedLevel,AccelLevel
0,7,6,6
log,BatteryLevel,SpeedLevel,AccelLevel
0,7,7,6
log,BatteryLevel,SpeedLevel,AccelLevel
0,7,7,7
log,BatteryLevel,SpeedLevel,AccelLevel
0,8,7,7
log,BatteryLevel,SpeedLevel,AccelLevel
0,8,8,7
log,BatteryLevel,SpeedLevel,AccelLevel
0,8,8,8
log,BatteryLevel,SpeedLevel,AccelLevel
0,9,8,8
log,BatteryLevel,SpeedLevel,AccelLevel
0,9,9,8
log,BatteryLevel,SpeedLevel,AccelLevel
0,9,9,9
log,BatteryLevel,SpeedLevel,AccelLevel
0,10,9,9
log,BatteryLevel,SpeedLevel,AccelLevel
0,10,10,9
log,BatteryLevel,SpeedLevel,AccelLevel
0,10,10,10
log,BatteryLevel,SpeedLevel,AccelLevel
0,0,1,0
log,BatteryLevel,SpeedLevel,AccelLevel
0,1,1,0
log,BatteryLevel,SpeedLevel,AccelLevel
0,1,1,1
